Sno,Team Name,W,D,L,GF,GA
1,BeForward Wanderers,13,8,4,34,17
2,Blue Eagles,6,11,11,26,27
3,Civil Service United,10,12,6,33,26
4,Ekwendeni Hammers,10,8,9,31,27
5,Kamuzu Barracks,9,11,8,27,28
6,Karonga United,12,9,7,33,22
7,MACO FC,10,12,7,31,27
8,Mighty Tigers,8,8,14,24,33
9,Moyale Barracks,11,8,8,28,32
10,Mzuzu Warriors,4,6,20,18,51
11,Ntopa FC,5,5,18,28,53
12,Nyasa Big Bullets,16,8,3,45,15
13,Red Lions,9,8,11,25,27
14,Savenda Chitipa United,8,5,16,21,40
15,Silver Strikers,17,4,7,53,18
16,TN  Stars,11,7,10,26,38
